Post ID,Platform,Duration (sec),Date,Post type,Views,Reach,Likes,Shares,Follows,Comments,Saves,Hashtag
1,Linkedin,N/A,04-11-2025,Image,358,98,13,0,0,0,0,N/A
2,Linkedin,N/A,05-11-2025,Image,380,115,19,0,0,0,0,N/A
3,Linkedin,N/A,06-11-2025,Image,389,93,11,0,0,0,0,N/A
4,Linkedin,N/A,07-11-2025,Carousel,334,78,13,0,0,0,0,N/A
5,Linkedin,N/A,08-11-2025,Image,337,81,17,0,0,0,0,N/A
6,Linkedin,N/A,09-11-2025,Image,148,47,3,0,0,0,0,N/A
7,Linkedin,N/A,10-11-2025,Image,228,59,7,0,0,0,0,N/A
8,Linkedin,N/A,11-11-2025,Carousel,177,65,8,0,0,0,0,N/A
9,Linkedin,N/A,12-11-2025,Image,413,75,10,0,0,0,0,N/A
10,Linkedin,N/A,13-11-2025,Image,214,27,1,0,0,0,0,N/A
11,Linkedin,N/A,14-11-2025,Image,250,71,10,0,0,0,0,N/A
12,Linkedin,N/A,15-11-2025,Image,99,34,2,0,0,0,0,N/A
13,Linkedin,N/A,16-11-2025,Image,210,59,10,0,0,0,0,N/A
14,Linkedin,N/A,17-11-2025,Carousel,184,70,10,0,0,0,0,N/A
15,Linkedin,N/A,18-11-2025,Carousel,175,64,5,0,0,0,0,N/A
16,Linkedin,N/A,19-11-2025,Image,185,66,12,0,0,0,0,N/A
17,Linkedin,N/A,20-11-2025,Carousel,380,70,16,0,0,0,0,N/A
18,Linkedin,N/A,21-11-2025,Carousel,193,63,10,0,0,0,0,N/A
19,Linkedin,N/A,22-11-2025,Carousel,263,66,17,0,0,0,0,N/A
20,Linkedin,N/A,23-11-2025,Image,138,33,2,0,0,0,0,N/A
21,Linkedin,N/A,24-11-2025,Image,322,59,12,0,0,0,0,N/A
22,Linkedin,N/A,25-11-2025,Carousel,370,59,8,0,0,0,0,N/A
23,Linkedin,N/A,26-11-2025,Video,239,75,5,0,0,0,0,N/A
24,Linkedin,N/A,27-11-2025,Image,261,45,1,0,0,0,0,N/A
25,Linkedin,N/A,28-11-2025,Carousel,303,52,6,0,0,0,0,N/A
26,Linkedin,N/A,29-11-2025,Video,210,73,3,0,0,0,0,N/A
27,Linkedin,N/A,30-11-2025,Carousel,104,38,4,0,0,0,0,N/A
28,Linkedin,N/A,01-12-2025,Image,376,53,3,0,0,0,0,N/A
29,Linkedin,N/A,02-12-2025,Image,246,54,5,0,0,0,0,N/A
30,Linkedin,N/A,03-12-2025,Image,110,27,0,0,0,0,0,N/A
31,Linkedin,N/A,04-12-2025,Image,66,21,0,0,0,0,0,N/A
32,Linkedin,N/A,05-12-2025,Video,215,54,4,0,0,0,0,N/A
33,Linkedin,N/A,06-12-2025,Image,229,56,8,0,0,0,0,N/A
34,Linkedin,N/A,07-12-2025,Image,162,59,7,0,0,0,0,N/A
35,Linkedin,N/A,08-12-2025,Video,307,62,19,0,0,0,0,N/A
36,Linkedin,N/A,09-12-2025,Image,275,73,6,0,0,0,0,N/A
37,Linkedin,N/A,10-12-2025,Image,281,73,9,0,0,0,0,N/A
38,Linkedin,N/A,11-12-2025,Video,233,57,14,0,0,0,0,N/A
39,Linkedin,N/A,12-12-2025,Image,65,24,2,0,0,0,0,N/A
40,Linkedin,N/A,13-12-2025,Image,227,58,7,0,0,0,0,N/A
41,Linkedin,N/A,14-12-2025,Image,196,60,4,0,0,0,0,N/A
42,Linkedin,N/A,15-12-2025,Image,247,56,7,0,0,0,0,N/A
43,Linkedin,N/A,16-12-2025,Video,541,144,17,0,0,1,0,N/A
44,Linkedin,N/A,17-12-2025,Image,414,101,7,0,0,0,0,N/A
45,Linkedin,N/A,18-12-2025,Image,370,70,11,0,0,0,0,N/A
46,Linkedin,N/A,19-12-2025,Video,283,73,8,0,0,0,0,N/A
47,Linkedin,N/A,20-12-2025,Carousel,232,88,5,0,0,0,0,N/A
48,Linkedin,N/A,21-12-2025,Image,157,56,8,0,0,0,0,N/A
49,Linkedin,N/A,22-12-2025,Video,279,73,9,0,0,0,0,N/A
50,Linkedin,N/A,23-12-2025,Image,249,67,6,0,0,0,0,N/A
51,Linkedin,N/A,24-12-2025,Image,255,78,7,0,0,1,0,N/A
52,Linkedin,N/A,25-12-2025,Image,174,35,2,0,0,0,0,N/A
53,Linkedin,N/A,26-12-2025,Video,273,60,1,0,0,0,0,N/A
54,Linkedin,N/A,27-12-2025,Image,215,53,4,0,0,0,0,N/A
55,Linkedin,N/A,28-12-2025,Video,111,41,2,0,0,0,0,N/A
56,Linkedin,N/A,29-12-2025,Image,195,47,4,0,0,0,0,N/A
57,Linkedin,N/A,30-12-2025,Carousel,174,45,9,0,0,0,0,N/A
58,Linkedin,N/A,31-12-2025,Image,206,54,4,0,0,0,0,N/A
59,Linkedin,N/A,01-01-2026,Carousel,306,102,13,0,0,0,0,N/A
60,Linkedin,N/A,02-01-2026,Image,216,52,3,0,0,0,0,N/A
61,Linkedin,N/A,03-01-2026,Image,224,58,2,0,0,0,0,N/A
62,Linkedin,N/A,04-01-2026,Image,164,50,2,0,0,0,0,N/A
63,Linkedin,N/A,05-01-2026,Carousel,204,77,5,0,0,0,0,N/A
64,Linkedin,N/A,06-01-2026,Image,475,67,6,0,0,2,0,N/A
65,Linkedin,N/A,07-01-2026,Image,185,60,6,0,0,0,0,N/A
66,Linkedin,N/A,08-01-2026,Image,376,77,40,0,0,1,0,N/A
67,Linkedin,N/A,09-01-2026,Carousel,312,64,15,0,0,3,0,N/A
68,Linkedin,N/A,10-01-2026,Image,398,115,83,0,0,72,0,N/A
69,Linkedin,N/A,11-01-2026,Image,770,275,98,0,0,74,0,N/A
70,Linkedin,N/A,12-01-2026,Image,831,331,110,0,0,90,0,N/A
71,Linkedin,N/A,13-01-2026,Carousel,872,267,85,0,0,80,0,N/A
72,Linkedin,N/A,14-01-2026,Image,607,159,13,0,0,78,0,N/A
73,Linkedin,N/A,15-01-2026,Video,512,132,88,0,0,77,0,N/A
74,Linkedin,N/A,16-01-2026,Image,686,232,99,0,0,186,0,N/A
75,Linkedin,N/A,17-01-2026,Carousel,525,179,89,0,0,110,0,N/A
76,Linkedin,N/A,18-01-2026,Video,408,171,88,0,0,75,0,N/A
77,Linkedin,N/A,19-01-2026,Carousel,437,144,102,0,0,141,0,N/A
78,Linkedin,N/A,20-01-2026,Carousel,491,150,84,0,0,122,0,N/A
