Company_ID,Industry_Type,Date,Energy_Demand_MWh,Fuel_Type,Emission_Produced_tCO2,Emission_Allowance_tCO2,Carbon_Price_USD_per_t,Credits_Traded_tCO2,Verification_Status,Compliance_Cost_USD,Optimization_Scenario,Carbon_Cost_Savings_USD,Transaction_Type
C099,Manufacturing,20-03-2025,2523.15,Renewable,1532.65,1428.65,35,59,DISPUTED,9574.32,High_Demand,1391.01,Sell
C015,Cement,12-01-2024,unknown,Renewable,1205.54,1228.54,34.69,59, Disputed ,5714.48,Price_Surge,2812.27,Buy
C047,Manufacturing,28-08-2024,977.27,Renewable,731.4,721.4,35,61,Verified,15937.79,Price_Surge,570.26,Hold
C090,nan,11-01-2024,unknown,Natural Gas,1396.17,1258.17,33.93,139,Verified,8376.35,Low_Demand,1606.84,buy
C095,Energy,03-11-2024,unknown,MIXED FUEL,1485.77,1533.77,33.71,140,Disputed,11344.26,Low_Demand,1677.89,Buy
C047,ENERGY,31-12-2025,2896.97,Natural Gas,1651.09,1497.09,34.99,60, DISPUTED ,6384,Price_Surge,1057.88,hold
C096,Energy,30-03-2025,unknown,Coal,1047.91,1161.91,33.7,133,Verified,19821.06,Low_Demand,2413.58,Buy
C086,Energy,28-03-2025,1301.89,Natural Gas,596.41,586.41,34.99,132,Verified,13428.69,High_Demand,2514.15,Hold
C012, Manufacturing ,19-08-2024,unknown,NATURAL GAS,712.92,732.92,33.04,51,Verified,13872.97,Low_Demand,1749.19,Buy
C015,Steel,11-11-2025,unknown,Mixed Fuel,842.15,808.15,33,190,Disputed,7391.99,Price_Surge,1099.93,BUY
C029,Manufacturing,23-09-2025,1916.79,Natural Gas,714.38,632.38,34.98,99,Verified,16888.97,High_Demand,926.04,Sell
C086,Energy,08-02-2024,2866.27,nan,1747.55,1796.55,34.98,63,Disputed,11005.04,High_Demand,2073.29, SELL 
C094,Cement,20-01-2025,unknown,Mixed Fuel,857.06,928.06,32.03,89,Disputed,15016.01,Low_Demand,1447.08,Buy
C033,Cement,20-10-2025,unknown,Natural Gas,803.91,930.91,31.89,182,Disputed,7009.83,Low_Demand,2191.54,Buy
C074,Steel,05-07-2025,932.05,Renewable,329.58,307.58,34.97,36,Disputed,18439.44,Low_Demand,512.53,Hold
C033,Cement,09-01-2024,1513.61,Natural Gas,730.93,863.93,34.97,74,Verified,18780.36,High_Demand,731.98, Sell 
C051,Steel,13-02-2025,1247.45,COAL,512.13,418.13,34.96,82,Disputed,12674.08,High_Demand,545.45,Sell
C085, Cement ,01-05-2025,1533.21,Mixed Fuel,772.05,705.05,34.96,124,DISPUTED,12758.34,High_Demand,1067.05,Sell
C065,Cement,05-12-2024,1452.8,Natural Gas,779.53,730.53,34.95,41,Verified,10272.32,High_Demand,1682.93,Sell
C007,Cement,06-03-2025,2360.26,Mixed Fuel,1775.39,1730.39,34.95,184,Disputed,14466.34,High_Demand,1030.28,Sell
C052,Cement,22-05-2024,521.81,Natural Gas,291.61,281.61,34.95,156,Verified,15434.2,High_Demand,1394.98,Hold
C063,Cement,20-09-2025,2783.67, Natural Gas ,2144.42,2260.42,34.95,185,Disputed,15715.53,Low_Demand,2210.1,Hold
C071,Steel,30-06-2024,2968.87,COAL,1153.16,1027.16,34.94,62,Disputed,15613.63,Low_Demand,1377.94,Hold
C087,Cement,30-11-2024,2439.57,Renewable,754.52,650.52,34.94,146,Verified,19789.64,High_Demand,1804.19,Sell
C072,Steel,25-01-2024,unknown,RENEWABLE,2098.84,2142.84,30.93,130,Verified,17267.89,Low_Demand,1554.95,Buy
C006, Steel ,23-09-2024,1129.78,NATURAL GAS,832.83,656.83,34.93,173,Disputed,10432.59,Low_Demand,2298.34,Hold
