Transaction_ID,Date,Customer_Type,Crop_Type,Harvest_Season,Moisture_Content_%,DM_Content_%,Quantity_MT,Price_per_MT_INR,Total_Sales_INR,Logistics_Cost_INR,Profit_Margin_%,Payment_Mode,Credit_Period_Days,Bagging_Type
TXN2022-001164,26-01-2022,Individual Farmer,Bajra,Rabi,61.1,38.9,3.96,6914,31592.88,1512.93,11.7,UPI,0,Bale-25kg
TXN2022-002553,01-02-2022,Dairy Farm,Bajra,Rabi,69.1,30.9,14.63,6592,108817.94,4664.99,11.28,UPI,0,Bale-50kg
TXN2022-003908,02-02-2022,Individual Farmer,Bajra,Rabi,67,33,7.28,7541,55684.72,2723.27,16.49,Credit,30,Bulk
TXN2022-000813,04-02-2022,Co-operative,Hybrid Mix,Rabi,67.6,35.2,13.93,6311,80055.71,4123.93,16.01,UPI,0,Bale-50kg
TXN2022-000988,09-02-2022,Dairy Farm,Bajra,Rabi,62,38,11.39,6479,86222.3,2868.67,17.38,UPI,0,Bags
TXN2022-004895,15-02-2022,Co-operative,Maize,Rabi,59.8,40.2,11.13,5969,63941.85,4627.7,15.75,Bank Transfer,0,Bags
TXN2022-000605,18-02-2022,Individual Farmer,Maize,Rabi,64.9,35.4,5.59,6882,40946.75,2153.01,10.46,UPI,0,Bulk
TXN2022-002734,22-02-2022,Individual Farmer,Maize,Rabi,65,35.2,3.46,7005,28583.06,1651.05,12.41,Bank Transfer,0,Bags
TXN2022-004033,27-02-2022,Individual Farmer,Maize,Rabi,66.3,33.7,8.95,7072,60358.8,2695.62,17.85,Bank Transfer,0,Bags
TXN2022-005273,27-02-2022,Individual Farmer,Maize,Rabi,67.7,32.3,6.4,7106,43168,3049.08,17.24,UPI,0,Bale-50kg
TXN2022-005024,27-02-2022,Individual Farmer,Maize,Rabi,65.2,31.1,5.26,7016,35510.26,3258.43,10.59,Bank Transfer,0,Bags
TXN2022-001270,27-02-2022,Individual Farmer,Jowar,Rabi,70.1,29.9,2.92,7758,21873.72,3247.04,18.51,UPI,0,Bale-25kg
TXN2022-004906,03-03-2022,Co-operative,Bajra,Summer,70.5,29.5,8.07,6967,65157.18,3889.99,16.11,Credit,14,Bags
TXN2022-001215,06-03-2022,Individual Farmer,Jowar,Summer,69.8,30.2,29.81,8156,238599.24,5505.19,15.34,UPI,0,Bale-50kg
